%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1.57E+18,21288,1.57E+18,base_imu_link,-0.03578308,0.060602213,-0.308558701,0.948598161,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.943444453,-1.024650391,9.60988,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21289,1.57E+18,base_imu_link,-0.035827105,0.060785055,-0.308293744,0.948670946,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-1.010477656,-0.953020625,9.681509766,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21290,1.57E+18,base_imu_link,-0.035217261,0.061164901,-0.308783135,0.948510187,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-1.034226563,-1.010477656,9.705641719,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21291,1.57E+18,base_imu_link,-0.035080467,0.061578085,-0.30875491,0.94849771,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.857258906,-1.005498047,9.638608516,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21292,1.57E+18,base_imu_link,-0.035134487,0.061137954,-0.308788471,0.948513257,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.933868281,-1.058358516,9.791827266,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21293,1.57E+18,base_imu_link,-0.035265289,0.061137222,-0.308038081,0.948752412,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.790225703,-1.087087031,9.738966797,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21294,1.57E+18,base_imu_link,-0.035699428,0.060642363,-0.308144412,0.948733406,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.881007813,-0.957617188,9.657760859,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21295,1.57E+18,base_imu_link,-0.035363896,0.06047066,-0.308667895,0.948586751,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-1.005498047,-0.986345703,9.772674922,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21296,1.57E+18,base_imu_link,-0.034967446,0.060876579,-0.308401779,0.948662038,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.967193359,-1.015074219,9.614476563,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21297,1.57E+18,base_imu_link,-0.03497427,0.061081007,-0.308716362,0.948546319,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.866835078,-1.096663203,9.629032344,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21298,1.57E+18,base_imu_link,-0.035537007,0.061004029,-0.308949624,0.948454406,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.890583984,-1.101259766,9.935086797,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21299,1.57E+18,base_imu_link,-0.035833227,0.060714914,-0.308630533,0.948565692,0.0025,0,0,0,0.0025,0,0,0,0.0025,0,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.746941406,-1.020053828,9.614476563,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21300,1.57E+18,base_imu_link,-0.036017444,0.059931596,-0.308355455,0.948697982,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.914715938,-1.000901484,9.585748047,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21301,1.57E+18,base_imu_link,-0.035869547,0.060076264,-0.308515009,0.94864256,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.852279297,-0.953020625,9.853880859,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21302,1.57E+18,base_imu_link,-0.035427483,0.059749406,-0.308557585,0.948665968,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.948041016,-1.020053828,9.681509766,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21303,1.57E+18,base_imu_link,-0.035417818,0.06003048,-0.308701168,0.94860187,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.9193125,-1.005498047,9.667337031,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21304,1.57E+18,base_imu_link,-0.035379986,0.060119306,-0.308861131,0.948545585,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.933868281,-0.976769531,9.581151484,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21305,1.57E+18,base_imu_link,-0.035186002,0.060215341,-0.308446539,0.948681607,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.852279297,-1.110835938,9.671933594,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21306,1.57E+18,base_imu_link,-0.035703977,0.060022417,-0.30852549,0.948648806,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.861855469,-1.062955078,9.710238281,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21307,1.57E+18,base_imu_link,-0.035934654,0.059904687,-0.308360683,0.948701122,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.838106563,-1.120412109,9.882609375,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21308,1.57E+18,base_imu_link,-0.036373819,0.059748485,-0.307942719,0.948829988,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.909736328,-0.885987422,9.84890125,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21309,1.57E+18,base_imu_link,-0.035497728,0.059574801,-0.308320366,0.948751446,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.895563594,-0.953020625,9.629032344,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21310,1.57E+18,base_imu_link,-0.035254536,0.059491004,-0.308253156,0.94878761,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.967193359,-1.039206172,9.710238281,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21311,1.57E+18,base_imu_link,-0.03531095,0.059875469,-0.308220485,0.948771942,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.9193125,-0.953020625,9.715217891,0.04,0,0,0,0.04,0,0,0,0.04
